,filename,width,height,class,xmin,ymin,xmax,ymax
72,IMG_6804.jpeg,3024,4032,lucy,50,17,2803,3997
73,IMG_1004.jpeg,1170,2532,lucy,229,1075,632,1537
74,IMG_0858.jpeg,3024,4032,lucy,1114,1945,1798,2279
75,IMG_0131.jpeg,3024,4032,lucy,0,1162,1593,2542
76,IMG_0482.jpeg,3024,4032,lucy,1365,1110,3019,4008
77,63332109917__F657CDA1-F9A1-4EDA-B210-0502BD806224.jpeg,3024,4032,lucy,839,368,2137,2647
78,59996326342__A01240B1-2B96-4FC1-A195-9B6D99890F8C.jpeg,2320,3088,lucy,188,894,1996,2837
79,IMG_0910.jpeg,1170,2532,lucy,474,1585,779,1823
80,IMG_7058.jpeg,3024,4032,lucy,1324,1922,3013,4008
81,IMG_6434.jpeg,3024,4032,lucy,121,11,3013,4008
82,IMG_0682.jpeg,3024,4032,lucy,1184,1449,3013,4008
83,IMG_0697.jpeg,3024,4032,lucy,389,981,2096,4014
84,IMG_0640.jpeg,3024,4032,lucy,798,1168,2370,3693
85,IMG_8383.jpeg,3024,4032,lucy,682,1437,2662,4026
86,IMG_9738.jpeg,3024,4032,lucy,436,1490,1932,3459
87,IMG_7067.jpeg,3024,4032,lucy,202,894,2516,3073
88,IMG_9710.jpeg,3024,4032,lucy,15,1198,2306,3833
89,IMG_0753.jpeg,3024,4032,lucy,880,1846,2896,3482
90,660EF01C-44DD-4087-8361-4556AD3F11F1.jpeg,1440,1440,lucy,375,1,997,1262
91,IMG_6726.jpeg,3024,4032,lucy,769,210,2347,2769
92,59124455094__9FBD8595-F8E6-4D4C-BEBD-29B386CA3AC9.jpeg,2320,3088,lucy,940,1418,2242,3074
93,IMG_7174.jpeg,3024,4032,lucy,752,1127,2516,4014
94,IMG_0196.jpeg,3024,4032,lucy,150,1799,1739,2331
95,IMG_6900.jpeg,3024,4032,lucy,1120,660,2423,2711
96,IMG_8050.jpeg,3024,4032,lucy,787,1595,1523,2559
97,IMG_7029.jpeg,3024,4032,lucy,232,1805,1283,2933
98,IMG_0746.jpeg,3024,4032,lucy,313,1466,2803,4008
99,IMG_8332.jpeg,3024,4032,lucy,711,631,2844,3056
100,IMG_9748.jpeg,3024,4032,lucy,822,1496,2569,3623
101,IMG_0750.jpeg,3024,4032,lucy,927,1998,1593,2840
102,IMG_0234.jpeg,3024,4032,lucy,21,613,1599,3091
103,IMG_8244.jpeg,3024,4032,lucy,419,935,2633,4014
104,IMG_0624.jpeg,3024,4032,lucy,863,964,3007,3997
105,IMG_0195.jpeg,3024,4032,lucy,1032,1916,1359,2454
106,IMG_7406.jpeg,3024,4032,lucy,156,5,2709,3652
107,IMG_0235.jpeg,3024,4032,lucy,21,490,1605,2834
108,IMG_6678.jpeg,3024,4032,lucy,869,1735,2242,3202
109,IMG_9985.jpeg,3024,4032,lucy,10,11,2715,2869
110,IMG_9003.jpeg,3024,4032,lucy,553,1338,2791,3009
111,IMG_8335.jpeg,3024,4032,lucy,641,730,2551,3336
112,IMG_7371.jpeg,3024,4032,lucy,1184,1028,2084,2536
113,IMG_6735.jpeg,3024,4032,lucy,886,11,2388,2594
114,450D3B03-1756-4891-8201-49ECCC0E4FC1.jpeg,3024,3024,lucy,942,0,3019,1906
115,IMG_0795.jpeg,3024,4032,lucy,740,894,2160,3313
116,IMG_0781.jpeg,3024,4032,lucy,956,1320,2522,3214
117,IMG_0554.jpeg,3024,4032,lucy,904,1262,2230,4014
118,IMG_0187.jpeg,3024,4032,lucy,1418,1314,2522,2559
119,IMG_6871.jpeg,3024,4032,lucy,331,485,2113,2840
120,IMG_0555.jpeg,3024,4032,lucy,600,1069,2224,4020
121,IMG_6468.jpeg,3024,4032,lucy,126,1910,1108,2904
